username,balance,email,phone
alice,424,alice@example.com,123-456-7890
bob,576,bob@example.com,234-567-8901
charlie,500,charlie@example.com,345-678-9012
david,500,david@example.com,456-789-0123
eve,500,eve@example.com,567-890-1234
frank,500,frank@example.com,678-901-2345
grace,500,grace@example.com,789-012-3456
henry,500,henry@example.com,890-123-4567
ivy,500,ivy@example.com,901-234-5678
jack,500,jack@example.com,012-345-6789
type,seq,client,message,sender,decision,round,timestamp
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616850555
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616850592
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616850640
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616850705
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616850837
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616850927
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616851038
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616851091
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616851211
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616851378
Reply,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,1,1,1724616851438
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616851481
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616851847
commit,1724616818226,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616852188
request,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724616871097
pre-prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616871222
pre-prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724616872194
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616872254
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616872281
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616872309
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616872487
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616872514
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616872538
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616872554
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616872570
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616872462
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616872342
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616872395
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616872617
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616872811
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616872914
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616872976
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616873042
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616873101
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616873241
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616873333
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616873447
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616873514
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616873669
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616873805
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616873911
prepare,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616873955
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616874026
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616874195
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616874252
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616874481
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616874570
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616874690
commit,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616874711
Reply,1724616871065,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,1,1,1724616874806
request,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724616919790
pre-prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724616919917
pre-prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616919954
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616920307
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616920327
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616920339
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616920300
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616920420
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616920509
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616920594
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616920606
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616920674
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616920801
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616920788
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616920818
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616921485
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616921455
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616921473
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724616921522
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724616921531
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724616921601
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724616922075
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724616922118
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724616922190
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724616922279
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724616922343
prepare,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616922467
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724616922523
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724616922533
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724616922551
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724616922695
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724616922989
Reply,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,1,1,1724616923107
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724616923135
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724616923196
commit,1724616919755,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724616923615
request,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724617541642
pre-prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724617541794
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724617542435
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1724617542447
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724617542539
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724617542565
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724617542506
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724617542613
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724617542464
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724617542492
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724617542598
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724617542651
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1724617542883
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724617542922
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724617543347
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724617543412
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724617543516
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724617543652
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724617543992
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1724617544194
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724617544183
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724617544205
prepare,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724617544158
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724617544213
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724617544236
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724617544418
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724617544253
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724617544245
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724617544434
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724617544444
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1724617544531
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724617544834
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724617544947
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node19,0,1,1724617545249
Reply,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,1,1,1724617545412
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724617545452
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node16,0,1,1724617545509
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724617545599
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node7,0,1,1724617546100
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724617546147
commit,1724617541558,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724617546165
request,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",pbft-client,0,1,1724617572902
pre-prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node1,0,1,1724617573104
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node4,0,1,1724617574241
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node10,0,1,1724617574363
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node1,0,1,1724617574333
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node9,0,1,1724617574348
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node17,0,1,1724617574390
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node12,0,1,1724617574410
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node3,0,1,1724617574439
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node8,0,1,1724617574382
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node15,0,1,1724617574297
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node14,0,1,1724617574928
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node13,0,1,1724617575041
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node19,0,1,1724617574464
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node7,0,1,1724617575264
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node16,0,1,1724617575333
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node11,0,1,1724617575455
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node18,0,1,1724617575162
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node5,0,1,1724617574489
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node2,0,1,1724617574374
prepare,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node6,0,1,1724617575920
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node10,0,1,1724617576612
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node12,0,1,1724617576645
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node4,0,1,1724617576654
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node1,0,1,1724617576662
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node3,0,1,1724617576618
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node16,0,1,1724617576742
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node11,0,1,1724617576629
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node2,0,1,1724617576715
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node13,0,1,1724617576813
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node9,0,1,1724617576826
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node18,0,1,1724617576845
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node5,0,1,1724617576858
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node19,0,1,1724617576871
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node15,0,1,1724617576780
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node7,0,1,1724617576637
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node14,0,1,1724617576758
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node6,0,1,1724617576984
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node17,0,1,1724617576970
commit,1724617572866,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":1000}",node8,0,1,1724617576948
request,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724619668403
pre-prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724619668641
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724619669425
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724619669472
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724619669451
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node20,0,1,1724619669461
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1724619669442
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724619669484
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724619669499
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724619669624
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724619669649
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1724619669641
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724619669797
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724619669990
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724619670302
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724619670405
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724619671495
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node22,0,1,1724619671531
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node21,0,1,1724619671641
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724619671427
prepare,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724619671703
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node4,0,1,1724619671761
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node20,0,1,1724619672126
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node9,0,1,1724619672136
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node18,0,1,1724619672149
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node5,0,1,1724619672181
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724619672393
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724619672241
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node17,0,1,1724619672695
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node21,0,1,1724619673178
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node14,0,1,1724619672883
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node2,0,1,1724619673046
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724619672769
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node12,0,1,1724619673662
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node8,0,1,1724619673785
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node10,0,1,1724619673880
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724619674001
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node13,0,1,1724619674260
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node3,0,1,1724619675006
commit,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node22,0,1,1724619675024
Reply,1724619668309,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,1,1,1724619675123
request,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",pbft-client,0,1,1724619791729
pre-prepare,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724619791879
prepare,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node1,0,1,1724619792247
prepare,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node6,0,1,1724619792363
prepare,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node11,0,1,1724619792464
prepare,1724619791679,pbft-client,"{""from"":""alice"",""to"":""bob"",""amount"":4}",node15,0,1,1724619792502
